Article,URL,Section
"Error: [number-to-bn] while converting number ""0xNaN"" to BN.js instance, error: invalid number value. Value must be an integer, hex string, BN or BigNumber instance. Note, decimals are not supported",https://support.metamask.io/hc/en-us/articles/360059462052-Error-number-to-bn-while-converting-number-0xNaN-to-BN-js-instance-error-invalid-number-value-Value-must-be-an-integer-hex-string-BN-or-BigNumber-instance-Note-decimals-are-not-supported,360014010851
"I did a swap, but received fewer tokens or less fiat value than I expected. Why? ",https://support.metamask.io/hc/en-us/articles/360059421651-I-did-a-swap-but-received-fewer-tokens-or-less-fiat-value-than-I-expected-Why-,360012954532
How does MetaMask generate your keys?,https://support.metamask.io/hc/en-us/articles/360020091432-How-does-MetaMask-generate-your-keys-,4471815759131
Using the same MetaMask wallet on multiple devices,https://support.metamask.io/hc/en-us/articles/360015289772-Using-the-same-MetaMask-wallet-on-multiple-devices,4470019780379
How to troubleshoot Snap issues,https://support.metamask.io/hc/en-us/articles/18377083455771-How-to-troubleshoot-Snap-issues,18157513444635
How to connect your account(s) to MetaMask Portfolio,https://support.metamask.io/hc/en-us/articles/8324584621083-How-to-connect-your-account-s-to-MetaMask-Portfolio,10055453185435
Why am I being asked to sign in? (Sign In With Ethereum),https://support.metamask.io/hc/en-us/articles/7622210047771-Why-am-I-being-asked-to-sign-in-Sign-In-With-Ethereum-,360012783592
Tips for using MetaMask and Ronin wallets successfully,https://support.metamask.io/hc/en-us/articles/4403684463899-Tips-for-using-MetaMask-and-Ronin-wallets-successfully,360012783512
Why Infura cannot serve certain areas,https://support.metamask.io/hc/en-us/articles/360059386712-Why-Infura-cannot-serve-certain-areas,360014010851
Why did my MetaMask swap fail?,https://support.metamask.io/hc/en-us/articles/360058994872-Why-did-my-MetaMask-swap-fail-,360012954532
Internal transactions,https://support.metamask.io/hc/en-us/articles/360058568312-Internal-transactions,4499203097627
MetaMask Legacy Web3,https://support.metamask.io/hc/en-us/articles/360053147012-MetaMask-Legacy-Web3,4469997552411
How to export an account's private key,https://support.metamask.io/hc/en-us/articles/360015289632-How-to-export-an-account-s-private-key,4471815759131
How to access Snap settings,https://support.metamask.io/hc/en-us/articles/18377034508699-How-to-access-Snap-settings,18157513444635
My MetaMask Portfolio dashboard is inaccurate or not up to date,https://support.metamask.io/hc/en-us/articles/8324578936347-My-MetaMask-Portfolio-dashboard-is-inaccurate-or-not-up-to-date,10055453185435
How to manage your MetaMetrics settings,https://support.metamask.io/hc/en-us/articles/6921789658523-How-to-manage-your-MetaMetrics-settings,360012783592
Does MetaMask support Polkadot?,https://support.metamask.io/hc/en-us/articles/360060861011-Does-MetaMask-support-Polkadot-,360012783512
How to add a memo to a transaction,https://support.metamask.io/hc/en-us/articles/360059452091-How-to-add-a-memo-to-a-transaction,4499203097627
Why is the MetaMask Swap button unavailable / greyed out?,https://support.metamask.io/hc/en-us/articles/360059410511-Why-is-the-MetaMask-Swap-button-unavailable-greyed-out-,360012954532
Manually connecting to a dapp,https://support.metamask.io/hc/en-us/articles/360045901112-Manually-connecting-to-a-dapp,4469997552411
Using MetaMask wallet in Brave browser,https://support.metamask.io/hc/en-us/articles/360038596792-Using-MetaMask-wallet-in-Brave-browser,4470019780379
How to copy your MetaMask account public address ,https://support.metamask.io/hc/en-us/articles/360015289512-How-to-copy-your-MetaMask-account-public-address-,4471975962907
How to enable MetaMask Snaps,https://support.metamask.io/hc/en-us/articles/18376876937115-How-to-enable-MetaMask-Snaps,18157513444635
"An NFT is missing, marked suspicious, or not displaying correctly in MetaMask Portfolio",https://support.metamask.io/hc/en-us/articles/8324475154715-An-NFT-is-missing-marked-suspicious-or-not-displaying-correctly-in-MetaMask-Portfolio,10055453185435
Will MetaMask ever ask me to verify my account?,https://support.metamask.io/hc/en-us/articles/6286050620955-Will-MetaMask-ever-ask-me-to-verify-my-account-,360012783592
Error: Cannot read property 'balance' of undefined ,https://support.metamask.io/hc/en-us/articles/360059812931-Error-Cannot-read-property-balance-of-undefined-,360014010851
How do I see the price at time of purchase for tokens bought through Swaps,https://support.metamask.io/hc/en-us/articles/360058615371-How-do-I-see-the-price-at-time-of-purchase-for-tokens-bought-through-Swaps,360012954532
NFT tokens in your MetaMask wallet,https://support.metamask.io/hc/en-us/articles/360058238591-NFT-tokens-in-your-MetaMask-wallet,4469964087195
How to send tokens from your MetaMask wallet,https://support.metamask.io/hc/en-us/articles/360015488931-How-to-send-tokens-from-your-MetaMask-wallet,4472188143387
How to create your own Snap,https://support.metamask.io/hc/en-us/articles/18376694691739-How-to-create-your-own-Snap,18157513444635
How to watch an account in MetaMask Portfolio,https://support.metamask.io/hc/en-us/articles/8324454669339-How-to-watch-an-account-in-MetaMask-Portfolio,10055453185435
How to customize token approvals with a spending cap,https://support.metamask.io/hc/en-us/articles/6055177143579-How-to-customize-token-approvals-with-a-spending-cap,360012783592
Custom networks missing after reinstalling or restoring from Secret Recovery Phrase,https://support.metamask.io/hc/en-us/articles/360059959612-Custom-networks-missing-after-reinstalling-or-restoring-from-Secret-Recovery-Phrase,4499296637979
"How do I send, receive, or cash out an NFT?",https://support.metamask.io/hc/en-us/articles/360058961911-How-do-I-send-receive-or-cash-out-an-NFT-,4469964087195
Cannot load tokens due to error message about token being already added,https://support.metamask.io/hc/en-us/articles/360058376632-Cannot-load-tokens-due-to-error-message-about-token-being-already-added,360014010851
How do I log out of (lock) my wallet?,https://support.metamask.io/hc/en-us/articles/360053412451-How-do-I-log-out-of-lock-my-wallet-,4471975962907
Uniswap support and troubleshooting tips,https://support.metamask.io/hc/en-us/articles/360053394291-Uniswap-support-and-troubleshooting-tips,360012954532
Why did I pay gas fees for a failed transaction?,https://support.metamask.io/hc/en-us/articles/360045439051-Why-did-I-pay-gas-fees-for-a-failed-transaction-,4499203944603
How to hide an asset (token or NFT) in MetaMask Portfolio,https://support.metamask.io/hc/en-us/articles/8324371826587-How-to-hide-an-asset-token-or-NFT-in-MetaMask-Portfolio,10055453185435
Does MetaMask have a bug bounty program for vulnerabilities?,https://support.metamask.io/hc/en-us/articles/6000270235291-Does-MetaMask-have-a-bug-bounty-program-for-vulnerabilities-,360012783592
Error: Exception is thrown in contract code/in contract execution,https://support.metamask.io/hc/en-us/articles/360059153452-Error-Exception-is-thrown-in-contract-code-in-contract-execution,360014010851
"How to interact with NFTs, OpenSea, and Rarible",https://support.metamask.io/hc/en-us/articles/360058240151-How-to-interact-with-NFTs-OpenSea-and-Rarible,4469964087195
Where does MetaMask source the token's price?,https://support.metamask.io/hc/en-us/articles/360058057471-Where-does-MetaMask-source-the-token-s-price-,360012954532
How can I reset my password?,https://support.metamask.io/hc/en-us/articles/360039616872-How-can-I-reset-my-password-,4472024417435
Using a local node,https://support.metamask.io/hc/en-us/articles/360015290012-Using-a-local-node,4470019780379
How to watch a token in MetaMask Portfolio,https://support.metamask.io/hc/en-us/articles/8324356266907-How-to-watch-a-token-in-MetaMask-Portfolio,10055453185435
Fighting back against sweeper bots,https://support.metamask.io/hc/en-us/articles/5716855323675-Fighting-back-against-sweeper-bots,11294597751963
Error: undefined is not an object,https://support.metamask.io/hc/en-us/articles/360059290331-Error-undefined-is-not-an-object,360014010851
How to clear your account activity/reset account,https://support.metamask.io/hc/en-us/articles/360015488891-How-to-clear-your-account-activity-reset-account,4472024417435
User Guide: How to use a Hardware Wallet,https://support.metamask.io/hc/en-us/articles/5450173968283-User-Guide-How-to-use-a-Hardware-Wallet,360012783592
ETH on Sepolia and Goerli networks (testnets),https://support.metamask.io/hc/en-us/articles/360059213492-ETH-on-Sepolia-and-Goerli-networks-testnets-,360012783512
Error: Invalid or missing bridge url parameter value,https://support.metamask.io/hc/en-us/articles/360059290011-Error-Invalid-or-missing-bridge-url-parameter-value,360014010851
How to import an account,https://support.metamask.io/hc/en-us/articles/360015489331-How-to-import-an-account,4471975962907
What is a token contract address?,https://support.metamask.io/hc/en-us/articles/360015488811-What-is-a-token-contract-address-,4472133778715
How to report a scam,https://support.metamask.io/hc/en-us/articles/5168786362779-How-to-report-a-scam,360012783592
"Error ""unable to load balance""",https://support.metamask.io/hc/en-us/articles/360058461612-Error-unable-to-load-balance-,360014010851
What are imported accounts? ,https://support.metamask.io/hc/en-us/articles/360015289932-What-are-imported-accounts-,4471975962907
Account Migration Guide,https://support.metamask.io/hc/en-us/articles/4867408571803-Account-Migration-Guide,360012783592
"Error ""No chain ID defined""",https://support.metamask.io/hc/en-us/articles/360058987211-Error-No-chain-ID-defined-,360014010851
How to remove a token,https://support.metamask.io/hc/en-us/articles/360058451852-How-to-remove-a-token,4472133778715
How to add a custom network RPC,https://support.metamask.io/hc/en-us/articles/360043227612-How-to-add-a-custom-network-RPC,4499296637979
Why am I being warned about sending tokens to a contract?,https://support.metamask.io/hc/en-us/articles/360020028092-Why-am-I-being-warned-about-sending-tokens-to-a-contract-,4472188143387
How to download state logs,https://support.metamask.io/hc/en-us/articles/360015290092-How-to-download-state-logs,4470019780379
Is MetaMask owned by JP Morgan?,https://support.metamask.io/hc/en-us/articles/4783940855323-Is-MetaMask-owned-by-JP-Morgan-,360012783592
How to add a token logo,https://support.metamask.io/hc/en-us/articles/360059582151-How-to-add-a-token-logo,4472133778715
Add a network using Chainlist,https://support.metamask.io/hc/en-us/articles/360058992772-Add-a-network-using-Chainlist,4499296637979
"Unlock error: ""invalid password""",https://support.metamask.io/hc/en-us/articles/360058878051-Unlock-error-invalid-password-,360014010851
"Why did my transaction fail with an ""Out of Gas"" error? How can I fix it?",https://support.metamask.io/hc/en-us/articles/360038849792-Why-did-my-transaction-fail-with-an-Out-of-Gas-error-How-can-I-fix-it-,4499203944603
Can I use MetaMask in my country?,https://support.metamask.io/hc/en-us/articles/4783916052251-Can-I-use-MetaMask-in-my-country-,360012783592
How to remove an account from your MetaMask wallet,https://support.metamask.io/hc/en-us/articles/360057435092-How-to-remove-an-account-from-your-MetaMask-wallet,4471975962907
Verifying custom network information,https://support.metamask.io/hc/en-us/articles/360057142392-Verifying-custom-network-information,4499296637979
How to revoke smart contract allowances/token approvals,https://support.metamask.io/hc/en-us/articles/4446106184731-How-to-revoke-smart-contract-allowances-token-approvals,360012783592
"How to fix ""insufficient funds"" error or greyed-out confirm button",https://support.metamask.io/hc/en-us/articles/360044703372-How-to-fix-insufficient-funds-error-or-greyed-out-confirm-button,360014010851
How can I delete my MetaMask wallet?,https://support.metamask.io/hc/en-us/articles/360042515731-How-can-I-delete-my-MetaMask-wallet-,4472024417435
Why am I being asked to connect to a dapp?,https://support.metamask.io/hc/en-us/articles/360036580711-Why-am-I-being-asked-to-connect-to-a-dapp-,4469997552411
How to enable full disk encryption for improved security,https://support.metamask.io/hc/en-us/articles/4425628474651-How-to-enable-full-disk-encryption-for-improved-security,360012783592
Error: [ethjs-query] while formatting outputs from RPC (transaction underpriced error),https://support.metamask.io/hc/en-us/articles/4402538041869-Error-ethjs-query-while-formatting-outputs-from-RPC-transaction-underpriced-error-,360014010851
How to display tokens in MetaMask,https://support.metamask.io/hc/en-us/articles/360015489031-How-to-display-tokens-in-MetaMask,4472133778715
How to report an address on Etherscan,https://support.metamask.io/hc/en-us/articles/4415323627803-How-to-report-an-address-on-Etherscan,360012783592
Sending assets to Binance (BNB Smart Chain),https://support.metamask.io/hc/en-us/articles/360059408871-Sending-assets-to-Binance-BNB-Smart-Chain-,4499267442331
"MetaMask states ""Balance may be outdated"", displays in orange, or ETH not added to balance",https://support.metamask.io/hc/en-us/articles/360038139452-MetaMask-states-Balance-may-be-outdated-displays-in-orange-or-ETH-not-added-to-balance,360014010851
When two-factor authentication?,https://support.metamask.io/hc/en-us/articles/4415327052443-When-two-factor-authentication-,360012783592
How to connect to the Gnosis Chain network (formerly xDai),https://support.metamask.io/hc/en-us/articles/360052711572-How-to-connect-to-the-Gnosis-Chain-network-formerly-xDai-,360012783512
"Error ""Internal JSON-RPC error"" when trying to interact with other networks",https://support.metamask.io/hc/en-us/articles/360059289871-Error-Internal-JSON-RPC-error-when-trying-to-interact-with-other-networks,4499296637979
How to change language settings in MetaMask,https://support.metamask.io/hc/en-us/articles/360032949832-How-to-change-language-settings-in-MetaMask,4470019780379
Hardware Wallet Hub,https://support.metamask.io/hc/en-us/articles/4408552261275-Hardware-Wallet-Hub,360012783592
How to connect a Trezor or Ledger Hardware Wallet,https://support.metamask.io/hc/en-us/articles/360020394612-How-to-connect-a-Trezor-or-Ledger-Hardware-Wallet,360002211172
Infura connectivity issues,https://support.metamask.io/hc/en-us/articles/360015489191-Infura-connectivity-issues,360012783512
Scammers and Phishers: Rugpulls and airdrop scams,https://support.metamask.io/hc/en-us/articles/4407169552667-Scammers-and-Phishers-Rugpulls-and-airdrop-scams,11294597751963
Passwords and MetaMask,https://support.metamask.io/hc/en-us/articles/4405451730331-Passwords-and-MetaMask,360012783592
What is a ‘Secret Recovery Phrase’ and how to keep your crypto wallet secure,https://support.metamask.io/hc/en-us/articles/360060826432-What-is-a-Secret-Recovery-Phrase-and-how-to-keep-your-crypto-wallet-secure,360012783592
What kind of data is MetaMask collecting?,https://support.metamask.io/hc/en-us/articles/360059913612-What-kind-of-data-is-MetaMask-collecting-,360012783592
How to reveal your Secret Recovery Phrase,https://support.metamask.io/hc/en-us/articles/360015290032-How-to-reveal-your-Secret-Recovery-Phrase,360012783592
My Secret Recovery Phrase/private key restored the wrong account(s),https://support.metamask.io/hc/en-us/articles/360058120992-My-Secret-Recovery-Phrase-private-key-restored-the-wrong-account-s-,360012783592
How to install MetaMask manually,https://support.metamask.io/hc/en-us/articles/360015489471-How-to-install-MetaMask-manually,4470019780379
"How to fix ""Invalid Seed Phrase"" error (Invalid Secret Recovery Phrase)",https://support.metamask.io/hc/en-us/articles/360053014611-How-to-fix-Invalid-Seed-Phrase-error-Invalid-Secret-Recovery-Phrase-,360012783592
"Revert back to earlier version, or add custom build to Chrome",https://support.metamask.io/hc/en-us/articles/360016336611-Revert-back-to-earlier-version-or-add-custom-build-to-Chrome,4470019780379
I've been hacked/scammed (unauthorized transactions on my account),https://support.metamask.io/hc/en-us/articles/360052511372-I-ve-been-hacked-scammed-unauthorized-transactions-on-my-account-,360012783592
How to disable or enable MetaMask Extension auto-updates,https://support.metamask.io/hc/en-us/articles/360015290132-How-to-disable-or-enable-MetaMask-Extension-auto-updates,4470019780379
Why can a site get blocklisted?,https://support.metamask.io/hc/en-us/articles/360015289752-Why-can-a-site-get-blocklisted-,4469997552411
